"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","complex; input","-","1.0",,"POLR1B (FI) POLR1D","true",,"POLR1B (FI) POLR1D"
"FI","complex; input","-","1.0",,"RBM10 (FI) SMU1","true",,"RBM10 (FI) SMU1"
"FI","complex","-","1.0",,"HNRNPC (FI) HNRNPU","true",,"HNRNPC (FI) HNRNPU"
"FI","activated by; complex; input","<-","1.0",,"EMG1 (FI) UTP15","true",,"EMG1 (FI) UTP15"
"FI","activated by; complex; input","<-","1.0",,"WDR3 (FI) WDR75","true",,"WDR3 (FI) WDR75"
"FI","complex","-","1.0",,"MRPS2 (FI) MRPS30","true",,"MRPS2 (FI) MRPS30"
"FI","activated by; catalyzed by","<-","1.0",,"RRP9 (FI) XRN2","true",,"RRP9 (FI) XRN2"
"FI","catalyze; complex; input","->","1.0",,"PUF60 (FI) RBM22","true",,"PUF60 (FI) RBM22"
"FI","catalyzed by","<-","1.0",,"IGFALS (FI) PLG","true",,"IGFALS (FI) PLG"
"FI","predicted","-","0.91",,"TCP1 (FI) USP9X","true",,"TCP1 (FI) USP9X"
"FI","complex","-","1.0",,"KRR1 (FI) NOC4L","true",,"KRR1 (FI) NOC4L"
"FI","predicted","-","0.92",,"CDC5L (FI) PRKDC","true",,"CDC5L (FI) PRKDC"
"FI","complex","-","1.0",,"KRR1 (FI) WDR3","true",,"KRR1 (FI) WDR3"
"FI","predicted","-","0.9",,"DHX9 (FI) HSD17B4","true",,"DHX9 (FI) HSD17B4"
"FI","catalyzed by","<-","1.0",,"RPS4X (FI) SPCS2","true",,"RPS4X (FI) SPCS2"
"FI","complex; input","-","1.0",,"CDC5L (FI) RBM22","true",,"CDC5L (FI) RBM22"
"FI","complex; input","-","1.0",,"NUP107 (FI) NUP93","true",,"NUP107 (FI) NUP93"
"FI","complex; input","-","1.0",,"NUP107 (FI) NUP98","true",,"NUP107 (FI) NUP98"
"FI","activate","->","1.0",,"AAAS (FI) CPSF3","true",,"AAAS (FI) CPSF3"
"FI","complex","-","1.0",,"MRPL33 (FI) MRPL37","true",,"MRPL33 (FI) MRPL37"
"FI","complex","-","1.0",,"MRPL33 (FI) MRPL38","true",,"MRPL33 (FI) MRPL38"
"FI","catalyze; complex; input","->","1.0",,"POLR2B (FI) PUF60","true",,"POLR2B (FI) PUF60"
"FI","predicted","-","0.94",,"MYBBP1A (FI) XRCC6","true",,"MYBBP1A (FI) XRCC6"
"FI","complex; input","-","1.0",,"EIF3B (FI) RPS5","true",,"EIF3B (FI) RPS5"
"FI","activated by","<-","1.0",,"MPHOSPH10 (FI) RPS5","true",,"MPHOSPH10 (FI) RPS5"
"FI","complex; input","-","1.0",,"DCAF7 (FI) TCP1","true",,"DCAF7 (FI) TCP1"
"FI","activate; inhibited by","|->","1.0",,"FGG (FI) SERPINC1","true",,"FGG (FI) SERPINC1"
"FI","catalyzed by; complex; input","<-","1.0",,"CDC5L (FI) RBM17","true",,"CDC5L (FI) RBM17"
"FI","complex; input","-","1.0",,"DHX9 (FI) POLR2B","true",,"DHX9 (FI) POLR2B"
"FI","catalyzed by; complex; input","<-","1.0",,"CDC5L (FI) RBM10","true",,"CDC5L (FI) RBM10"
"FI","predicted","-","0.94",,"PSMC2 (FI) SNRNP200","true",,"PSMC2 (FI) SNRNP200"
"FI","complex; input","-","1.0",,"CUL4B (FI) RFC4","true",,"CUL4B (FI) RFC4"
"FI","complex; input","-","1.0",,"RBM42 (FI) SNRPA1","true",,"RBM42 (FI) SNRPA1"
"FI","predicted","-","0.9",,"HCFC1 (FI) XRCC6","true",,"HCFC1 (FI) XRCC6"
"FI","complex; input","-","1.0",,"CUL4B (FI) RFC2","true",,"CUL4B (FI) RFC2"
"FI","input; reaction","-","1.0",,"HSP90AA1 (FI) HSP90AB1","true",,"HSP90AA1 (FI) HSP90AB1"
"FI","catalyzed by; complex; input","<-","1.0",,"MRPL9 (FI) PTCD3","true",,"MRPL9 (FI) PTCD3"
"FI","predicted","-","0.9",,"HSPA8 (FI) SSRP1","true",,"HSPA8 (FI) SSRP1"
