"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","complex; input","-","1.0","","CEP152 (FI) TPX2","true","","CEP152 (FI) TPX2"
"FI","complex","-","1.0","","CEP152 (FI) CEP290","true","","CEP152 (FI) CEP290"
"FI","complex","-","1.0","","CEP152 (FI) CEP250","true","","CEP152 (FI) CEP250"
"FI","predicted","-","0.98","","CEP152 (FI) SASS6","true","","CEP152 (FI) SASS6"
"FI","complex; input","-","1.0","","CEP152 (FI) HMMR","true","","CEP152 (FI) HMMR"
"FI","complex; input","-","1.0","","CEP152 (FI) RAB3IP","true","","CEP152 (FI) RAB3IP"
"FI","complex","-","1.0","","CEP152 (FI) IQCB1","true","","CEP152 (FI) IQCB1"
"FI","complex; input","-","1.0","","AHI1 (FI) IQCB1","true","","AHI1 (FI) IQCB1"
"FI","complex; input","-","1.0","","AHI1 (FI) AKAP9","true","","AHI1 (FI) AKAP9"
"FI","complex; input","-","1.0","","AHI1 (FI) RAB3IP","true","","AHI1 (FI) RAB3IP"
"FI","complex; input","-","1.0","","AHI1 (FI) CEP250","true","","AHI1 (FI) CEP250"
"FI","complex; input","-","1.0","","AHI1 (FI) CDK1","true","","AHI1 (FI) CDK1"
"FI","complex; input","-","1.0","","AHI1 (FI) CEP290","true","","AHI1 (FI) CEP290"
"FI","complex; input","-","1.0","","AHI1 (FI) CEP152","true","","AHI1 (FI) CEP152"
"FI","complex; input","-","1.0","","CENPF (FI) KNTC1","true","","CENPF (FI) KNTC1"
"FI","predicted","-","0.94","","CENPF (FI) TPX2","true","","CENPF (FI) TPX2"
