shared name
MAP3K13 (FI) MAP3K4
TCFL5 (FI) THAP11
RNF133 (FI) UBE2H
BAIAP2L2 (FI) RHOF
OTUD3 (FI) OTUD4
OTUD3 (FI) OTUD6A
OTUD3 (FI) PTEN
TEX101 (FI) ZPBP
KCNK18 (FI) KCNK7
SHISA5 (FI) TP53
NAA20 (FI) NAA30
NAA20 (FI) NAA25
STK40 (FI) TRIB1
CCDC103 (FI) CCDC40
CCDC103 (FI) CCDC39
JPH3 (FI) JPH4
JPH1 (FI) JPH2
JPH1 (FI) JPH3
CLEC16A (FI) RNF41
PSG2 (FI) PSG3
GJA3 (FI) GJD2
GJA3 (FI) GJB2
GJA3 (FI) GJB3
GJA3 (FI) GJB7
GJA3 (FI) GJC1
GJA3 (FI) GJC2
GJA3 (FI) GJA4
GJA3 (FI) GJA8
GJA8 (FI) GJD2
GJA8 (FI) GJB2
GJA10 (FI) GJA3
GJA10 (FI) GJA8
TBC1D22A (FI) TBC1D22B
LIPT2 (FI) NDUFAB1
SLC22A3 (FI) SP1
LPCAT1 (FI) STARD10
DNAJC24 (FI) EEF2
DNAJC24 (FI) DPH3
DNAJC24 (FI) DPH1
DNAJC24 (FI) DPH2
N6AMT1 (FI) TRMT112
KIF13B (FI) KIF23
ADAP1 (FI) ARF6
ADAP1 (FI) KIF13B
NUFIP1 (FI) ZNHIT3
HNRNPA1L2 (FI) HNRNPA3
HNRNPA1L2 (FI) HNRNPH2
HNRNPA1L2 (FI) HNRNPH3
CALHM1 (FI) CHRM3
CALHM1 (FI) CALHM3
CALHM1 (FI) SCN2A
CALHM1 (FI) SCN3A
CALHM1 (FI) SCN9A
BST2 (FI) IRF3
BST2 (FI) STAT1
BST2 (FI) STAT2
FBLN2 (FI) NID1
FBLN2 (FI) VTN
FBLN2 (FI) MFAP5
FBLN2 (FI) MFAP3
FBLN2 (FI) MFAP4
FBLN2 (FI) MFAP2
FBLN2 (FI) LAMC2
ANKRA2 (FI) HDAC4
ANKRA2 (FI) HDAC5
ANKRA2 (FI) RFXAP
ACOT7 (FI) PCTP
GCNT4 (FI) MUC15
GCNT4 (FI) MUC16
GCNT4 (FI) MUC17
GCNT4 (FI) MUC12
GCNT4 (FI) MUC13
GCNT4 (FI) MUC20
GCNT4 (FI) MUC21
GCNT4 (FI) MUC5B
GCNT4 (FI) MUCL1
GCNT4 (FI) MUC6
GCNT4 (FI) MUC7
GCNT4 (FI) MUC4
GCNT4 (FI) MUC2
GCNT4 (FI) MUC1
SIGLEC1 (FI) SPN
DMP1 (FI) ITGAV
DMP1 (FI) ITGB3
DMP1 (FI) FAM20C
DMP1 (FI) FAM20A
CRLF3 (FI) CTCFL
GLRX2 (FI) GLRX5
GLRX2 (FI) TXNRD1
KLK15 (FI) PRSS8
KLK15 (FI) ST14
KRTCAP2 (FI) STT3A
KRTCAP2 (FI) STT3B
KRTCAP2 (FI) RPN2
KRTCAP2 (FI) RPN1
LUC7L2 (FI) LUC7L3
LUC7L2 (FI) SRPK2
RNF165 (FI) UBE2W
ARMC8 (FI) MAEA
ARMC8 (FI) WDR26
ARMC8 (FI) RMND5A
HMGXB4 (FI) ZRANB1
B4GALNT1 (FI) ST8SIA4
ACAP2 (FI) ARF6
ACAP2 (FI) RAB35
IL17C (FI) IL17RA
IL17C (FI) IL17RE
THAP3 (FI) YY1
DHCR7 (FI) SREBF1
HEPH (FI) SLC40A1
CYBRD1 (FI) HEPH
PHF13 (FI) ZBTB7A
CALY (FI) DRD1
TAC4 (FI) TACR1
COX8C (FI) SOD1
PBLD (FI) STRAP
PARP9 (FI) STAT2
PARP9 (FI) STAT1
PARP9 (FI) STAT3
SLC17A6 (FI) SLC17A7
SLC17A6 (FI) SLC17A8
RNF112 (FI) TARDBP
LRFN3 (FI) RTN3
FEZ1 (FI) WWC1
IL17B (FI) STAT3
IL17B (FI) IL17C
IL17B (FI) IL17RB
DTX3 (FI) NOTCH1
DTX3 (FI) NOTCH4
DTX3 (FI) NOTCH2
DTX3 (FI) NOTCH3
SLCO2A1 (FI) SLCO4A1
CCDC86 (FI) MRTO4
ANXA3 (FI) EP300
ANXA3 (FI) ANXA4
ANXA3 (FI) GATA2
PTCRA (FI) SPI1
PTCRA (FI) RBPJL
PTCRA (FI) RBPJ
CHGB (FI) FAM20A
CHGB (FI) FAM20C
EHBP1 (FI) EHD1
EHBP1 (FI) EHD2
EHBP1 (FI) RAB35
SOAT2 (FI) SREBF2
ARIH2 (FI) RAB40B
ARIH2 (FI) RAB40C
ARIH2 (FI) UBE2E3
ARIH2 (FI) UBE2E1
ARIH2 (FI) UBE2L3
MYOZ2 (FI) TCAP
CWF19L1 (FI) CWF19L2
CWF19L1 (FI) SNRPB2
CWF19L1 (FI) DBR1
BNC1 (FI) GLI1
BNC1 (FI) SPI1
MAGEL2 (FI) USP7
